image_path,model,error,latency_ms,Hard to spot?_pred,Accident or design?_pred,Emotion?_pred,Person or creature?_pred,Gender?_pred,Amusing?_pred,_raw,_image_file,Hard to spot?_gt,Accident or design?_gt,Emotion?_gt,Person or creature?_gt,Gender?_gt,Amusing?_gt
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000052.jpg,gemini-2.5-flash-lite,,1183.0,Easy,Design,Happy,Cartoon,Neutral,Yes,,000000052.jpg,Easy,Design,Happy,Human-Young,Male,No
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000060.jpg,gemini-2.5-flash-lite,,968.0,Medium,Accident,Neutral,Other,Neutral,Somewhat,,000000060.jpg,Easy,Accident,Neutral,Animal,Neutral,No
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000068.jpg,gemini-2.5-flash-lite,,919.0,Easy,Design,Neutral,Other,Neutral,Yes,,000000068.jpg,Easy,Design,Neutral,Human-Adult,Female,Somewhat
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000079.jpg,gemini-2.5-flash-lite,,1356.0,Medium,Accident,Neutral,Other,Neutral,Somewhat,,000000079.jpg,Easy,Accident,Sad,Human-Adult,Male,No
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000080.jpg,gemini-2.5-flash-lite,,1213.0,Easy,Design,Happy,Cartoon,Neutral,Yes,,000000080.jpg,Easy,Design,Happy,Human-Adult,Male,Somewhat
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000081.jpg,gemini-2.5-flash-lite,,1110.0,Easy,Design,Other,Other,Neutral,Yes,,000000081.jpg,Easy,Design,Disgusted,Alien,Neutral,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000090.jpg,gemini-2.5-flash-lite,,1353.0,Easy,Design,Other,Cartoon,Neutral,Yes,,000000090.jpg,Easy,Design,Happy,Human-Adult,Male,No
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000092.jpg,gemini-2.5-flash-lite,,1521.0,Easy,Accident,Neutral,Other,Neutral,Yes,,000000092.jpg,Easy,Accident,Sad,Alien,,No
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000098.jpg,gemini-2.5-flash-lite,,923.0,Easy,Design,Other,Other,Neutral,Somewhat,,000000098.jpg,Easy,Design,Neutral,Animal,Neutral,No
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000102.jpg,gemini-2.5-flash-lite,,1467.0,Medium,Accident,Neutral,Other,Neutral,Somewhat,,000000102.jpg,Hard,Accident,Neutral,Alien,Neutral,No
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000106.jpg,gemini-2.5-flash-lite,,1168.0,Medium,Accident,Neutral,Other,Neutral,No,,000000106.jpg,Hard,Accident,Happy,Robot,Neutral,No
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000107.jpg,gemini-2.5-flash-lite,,1025.0,Easy,Design,Happy,Cartoon,Neutral,Yes,,000000107.jpg,Easy,Design,Happy,Human-Adult,Male,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000115.jpg,gemini-2.5-flash-lite,,1013.0,Easy,Design,Neutral,Animal,Neutral,Yes,,000000115.jpg,Easy,Design,Neutral,Animal,Neutral,No
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000120.jpg,gemini-2.5-flash-lite,,1255.0,Medium,Accident,Neutral,Other,Neutral,Somewhat,,000000120.jpg,Medium,Accident,Neutral,Human-Adult,Neutral,No
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000140.jpg,gemini-2.5-flash-lite,,1339.0,Easy,Design,Happy,Other,Neutral,Yes,,000000140.jpg,Easy,Design,Neutral,Human-Adult,Male,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000143.jpg,gemini-2.5-flash-lite,,912.0,Hard,Accident,Neutral,Other,Neutral,No,,000000143.jpg,Medium,Accident,Neutral,Robot,Neutral,No
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000152.jpg,gemini-2.5-flash-lite,,1193.0,Easy,Design,Neutral,Cartoon,Neutral,Yes,,000000152.jpg,Easy,Design,Neutral,Cartoon,Neutral,No
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000160.jpg,gemini-2.5-flash-lite,,1532.0,Easy,Design,Neutral,Other,Neutral,Yes,,000000160.jpg,Hard,Accident,Surprised,Robot,Neutral,No
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000161.jpg,gemini-2.5-flash-lite,,1417.0,Easy,Design,Neutral,Animal,Neutral,No,,000000161.jpg,Medium,Design,Neutral,Animal,Neutral,Somewhat
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000176.jpg,gemini-2.5-flash-lite,,1304.0,Easy,Design,Happy,Cartoon,Neutral,Yes,,000000176.jpg,Easy,Design,Happy,Human-Adult,Male,No
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000181.jpg,gemini-2.5-flash-lite,,1311.0,Medium,Accident,Neutral,Other,Neutral,Somewhat,,000000181.jpg,Hard,Accident,Sad,Human-Adult,Male,No
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000199.jpg,gemini-2.5-flash-lite,,1276.0,Medium,Accident,Neutral,Animal,Neutral,Somewhat,,000000199.jpg,Hard,Accident,Neutral,Alien,Neutral,No
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000206.jpg,gemini-2.5-flash-lite,,1390.0,Medium,Accident,Neutral,Other,Neutral,Somewhat,,000000206.jpg,Hard,Accident,Neutral,Human-Adult,Male,No
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000209.jpg,gemini-2.5-flash-lite,,1064.0,Medium,Accident,Neutral,Other,Neutral,No,,000000209.jpg,Hard,Accident,Neutral,Alien,Neutral,No
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000216.jpg,gemini-2.5-flash-lite,,1088.0,Easy,Design,Other,Animal,Neutral,Yes,,000000216.jpg,Easy,Design,Neutral,Cartoon,Neutral,No
